Linux 5.15.0-97-generic (dev-os) 	03/09/24 	_x86_64_	(4 CPU)

01:15:42        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:15:43        all    100.00      0.00      0.00      0.00      0.00      0.00
01:15:44        all    100.00      0.00      0.00      0.00      0.00      0.00
01:15:45        all     99.75      0.00      0.25      0.00      0.00      0.00
01:15:46        all    100.00      0.00      0.00      0.00      0.00      0.00
01:15:47        all    100.00      0.00      0.00      0.00      0.00      0.00
01:15:48        all    100.00      0.00      0.00      0.00      0.00      0.00
01:15:49        all    100.00      0.00      0.00      0.00      0.00      0.00
01:15:50        all    100.00      0.00      0.00      0.00      0.00      0.00
01:15:51        all    100.00      0.00      0.00      0.00      0.00      0.00
01:15:52        all    100.00      0.00      0.00      0.00      0.00      0.00
01:15:53        all     99.75      0.00      0.25      0.00      0.00      0.00
01:15:54        all    100.00      0.00      0.00      0.00      0.00      0.00
01:15:55        all    100.00      0.00      0.00      0.00      0.00      0.00
01:15:56        all    100.00      0.00      0.00      0.00      0.00      0.00
01:15:57        all    100.00      0.00      0.00      0.00      0.00      0.00
01:15:58        all    100.00      0.00      0.00      0.00      0.00      0.00
01:15:59        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:00        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:01        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:02        all    100.00      0.00      0.00      0.00      0.00      0.00
Average:        all     99.98      0.00      0.02      0.00      0.00      0.00
