Linux 5.15.0-100-generic (dev-os) 	03/10/24 	_x86_64_	(4 CPU)

12:09:06        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:09:07        all     99.75      0.00      0.00      0.00      0.00      0.25
12:09:08        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:09        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:10        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:11        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:12        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:13        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:14        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:15        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:16        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:17        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:18        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:19        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:20        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:21        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:22        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:23        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:24        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:25        all    100.00      0.00      0.00      0.00      0.00      0.00
12:09:26        all    100.00      0.00      0.00      0.00      0.00      0.00
Average:        all     99.99      0.00      0.00      0.00      0.00      0.01
