Linux 5.15.0-100-generic (dev-os) 	03/10/24 	_x86_64_	(4 CPU)

12:10:09        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:10:10        all     99.00      0.00      0.25      0.25      0.00      0.50
12:10:11        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:12        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:13        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:14        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:15        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:16        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:17        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:18        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:19        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:20        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:21        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:22        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:23        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:24        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:25        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:26        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:27        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:28        all    100.00      0.00      0.00      0.00      0.00      0.00
12:10:29        all    100.00      0.00      0.00      0.00      0.00      0.00
Average:        all     99.95      0.00      0.01      0.01      0.00      0.02
