Linux 5.15.0-100-generic (dev-os) 	03/10/24 	_x86_64_	(4 CPU)

12:11:05        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:11:06        all     99.25      0.00      0.25      0.00      0.00      0.50
12:11:07        all    100.00      0.00      0.00      0.00      0.00      0.00
12:11:08        all    100.00      0.00      0.00      0.00      0.00      0.00
12:11:09        all    100.00      0.00      0.00      0.00      0.00      0.00
12:11:10        all    100.00      0.00      0.00      0.00      0.00      0.00
12:11:11        all     99.75      0.00      0.25      0.00      0.00      0.00
12:11:12        all    100.00      0.00      0.00      0.00      0.00      0.00
12:11:13        all    100.00      0.00      0.00      0.00      0.00      0.00
12:11:14        all    100.00      0.00      0.00      0.00      0.00      0.00
12:11:15        all    100.00      0.00      0.00      0.00      0.00      0.00
12:11:16        all    100.00      0.00      0.00      0.00      0.00      0.00
12:11:17        all    100.00      0.00      0.00      0.00      0.00      0.00
12:11:18        all    100.00      0.00      0.00      0.00      0.00      0.00
12:11:19        all    100.00      0.00      0.00      0.00      0.00      0.00
12:11:20        all    100.00      0.00      0.00      0.00      0.00      0.00
12:11:21        all     99.50      0.00      0.50      0.00      0.00      0.00
12:11:22        all    100.00      0.00      0.00      0.00      0.00      0.00
12:11:23        all    100.00      0.00      0.00      0.00      0.00      0.00
12:11:24        all    100.00      0.00      0.00      0.00      0.00      0.00
12:11:25        all    100.00      0.00      0.00      0.00      0.00      0.00
Average:        all     99.93      0.00      0.05      0.00      0.00      0.02
