Linux 5.15.0-100-generic (dev-os) 	03/10/24 	_x86_64_	(4 CPU)

12:15:25          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
12:15:26         5.00      2.00      3.00      0.00    200.00     40.00      0.00
12:15:27         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:15:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:15:29         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:15:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:15:31         2.00      0.00      2.00      0.00      0.00     40.00      0.00
12:15:32         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:15:33         2.00      0.00      2.00      0.00      0.00     16.00      0.00
12:15:34         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:15:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:15:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:15:37         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:15:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:15:39         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:15:40         3.00      0.00      3.00      0.00      0.00     24.00      0.00
12:15:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:15:42         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:15:43        15.00      0.00     15.00      0.00      0.00    184.00      0.00
12:15:44         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:15:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         1.35      0.10      1.25      0.00     10.00     15.20      0.00
