Linux 5.15.0-97-generic (dev-os) 	03/09/24 	_x86_64_	(4 CPU)

01:16:26        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:16:27        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:28        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:29        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:30        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:31        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:32        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:33        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:34        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:35        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:36        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:37        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:38        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:39        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:40        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:41        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:42        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:43        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:44        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:45        all    100.00      0.00      0.00      0.00      0.00      0.00
01:16:46        all    100.00      0.00      0.00      0.00      0.00      0.00
Average:        all    100.00      0.00      0.00      0.00      0.00      0.00
